id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
FJI,-0.04,-0.25,-0.16,-0.17,-0.18,-0.18,-0.11,-0.16,-0.2,-0.19,-0.12,0.14,-0.07,0.12,0.49,0.17,0.31,0.23,-0.1,-0.23,0.26,0.09,0.05,0.15,0.16
FRA,0.58,0.83,0.38,0.25,-0.14,0.02,0.44,0.02,0.43,0.26,0.11,0.31,0.23,0.28,0.28,0.26,0.07,-0.07,-0.15,-0.4,-0.41,-0.76,-0.76,-0.78,-1.27
GAB,1.07,0.98,1.26,1.19,0.49,0.61,0.63,0.55,0.6,0.35,0.16,0.15,-0.12,-0.16,-0.22,-0.17,-0.76,-0.89,-0.94,-0.97,-0.72,-0.72,-0.75,-0.75,-0.88
GBR,0.99,1.15,0.94,0.74,0.73,0.56,0.76,0.33,0.38,0.33,0.48,0.52,0.19,0.34,0.27,0.27,0.18,-0.1,-0.29,-1.14,-0.86,-1.64,-1.36,-1.57,-2.22
GEO,0,0,1.66,0.54,-0.23,-0.99,-0.58,-0.46,-0.31,-0.44,-0.37,-0.55,-0.63,-0.53,-0.38,-0.19,0.1,0.18,-0.14,0.15,0.18,0.64,0.78,0.63,0.93
GHA,-0.1,-0.1,-0.11,-0.08,-0.06,-0.05,-0.04,0,-0.01,-0.01,-0.03,-0.01,0.01,0.01,-0.01,-0.04,0.06,0.07,0.03,-0.04,0.04,0.03,0.1,0.19,0.17
GIN,-0.02,-0.03,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,0,0,0.01,0.01,0.01,0,0,0,0.02,0.02,0.05,0.06,0.04,0.01,0.02
GMB,-0.02,-0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.03,-0.03,-0.02,-0.01,-0.01,0.01,0,0,-0.01,0,0.02,0.02,0.02,0.05,0.05,0.04,0.02,0.06
GNB,0.02,0.02,0.02,0.02,0.01,0.01,0,0.02,-0.01,0.01,-0.04,-0.03,-0.03,-0.01,0,0,0,0.01,0,0,0,0,0,0,0
GNQ,-3.28,-3.11,-3.09,-3.22,-3.37,-3.18,-3.22,-2.9,-3.14,-2.65,-2.7,1.4,4.04,5.23,3.76,2.79,2.57,2.35,1.75,1.65,1.48,2.73,1.49,1.33,1.3
GRC,-0.59,-0.7,-0.62,-0.64,-0.47,-0.42,-0.31,-0.03,0.31,0.17,0.6,0.76,0.71,0.88,0.99,1.1,0.95,1.01,0.78,0.4,-0.34,-0.69,-0.63,-1.54,-1.7
GRL,-0.01,-0.12,-1.28,-0.93,-0.91,-0.96,-0.72,-0.67,-0.55,-0.36,-0.51,-0.4,-0.44,-0.6,0.28,0.72,1.08,1.32,1.75,0.25,1.7,2.47,0.04,-0.16,-0.98
GTM,-0.24,-0.26,-0.17,-0.22,-0.12,-0.1,-0.17,-0.09,-0.01,-0.01,0.06,0.1,0.12,0.07,0.12,0.17,0.15,0.13,0.02,0.04,0,0,-0.01,0.08,0.36
GUY,-0.52,-0.55,-0.65,-0.66,-0.22,-0.12,-0.05,0.05,0.14,0.18,0.09,0.08,0.06,0.04,0.12,-0.13,-0.32,0.05,0.04,0.06,0.26,0.34,0.61,0.51,0.59
HND,-0.32,-0.32,-0.26,-0.32,-0.25,-0.17,-0.17,-0.16,-0.1,-0.1,-0.08,0.01,0.04,0.11,0.17,0.18,0.08,0.29,0.25,0.13,0.13,0.22,0.21,0.2,0.23
HRV,0,0,-0.92,-0.86,-0.96,-0.83,-0.78,-0.34,-0.06,-0.08,-0.18,0.24,0.49,0.84,0.69,0.74,0.74,1.02,0.74,0.41,0.19,0.12,-0.29,-0.38,-0.53
HTI,-0.04,-0.04,-0.06,-0.09,-0.14,-0.07,-0.05,-0.01,-0.03,-0.02,-0.02,0,0.03,0.01,0.04,0.04,0.04,0.07,0.07,0.05,0.03,0.04,0.04,0.05,0.09
HUN,1.19,0.89,0.3,0.45,0.17,0.32,0.49,0.39,0.24,0.22,-0.06,0.07,-0.01,0.3,0.16,0.22,0.17,0.05,-0.06,-0.69,-0.5,-0.73,-1.03,-1.27,-1.26
IDN,-0.65,-0.5,-0.4,-0.33,-0.34,-0.33,-0.21,-0.1,-0.44,-0.32,-0.23,-0.1,-0.07,-0.04,0.03,0.03,0.02,0.13,0.29,0.39,0.29,0.98,1.08,0.47,0.34
IND,-0.38,-0.35,-0.32,-0.31,-0.28,-0.24,-0.19,-0.17,-0.17,-0.13,-0.11,-0.12,-0.12,-0.1,-0.06,-0.02,0.03,0.1,0.22,0.34,0.31,0.39,0.51,0.5,0.64
IRL,-0.6,-0.6,-0.76,-0.74,-0.38,-0.35,0.11,0.43,0.9,1.21,1.35,1.9,1.56,1.2,1.27,0.98,0.62,0.66,0.09,-0.59,-0.7,-1.7,-1.75,-1.95,-2.17
IRN,-2.25,-2.03,-2.07,-1.97,-1.55,-1.49,-1.51,-1.7,-1.16,-0.12,-0.36,-0.05,-0.08,0.09,0.43,0.66,1.16,1.22,1.44,1.53,1.69,1.81,2.01,2.01,2.29
IRQ,-0.83,-1.01,-0.35,-0.22,0.08,0.12,-0.22,-0.38,-0.3,-0.4,-0.48,-0.04,-0.06,0,0.78,0.65,0.01,-1.37,-0.36,-0.06,0.09,0.68,1.1,1.33,1.25
ISL,0.72,-0.27,-0.16,0.37,0.43,0.16,1.1,0.64,0.54,0.33,0.57,0.25,0.43,0.36,0.56,0.39,0.44,0.29,-0.45,-0.68,-0.96,-1.23,-1.51,-1.26,-1.07
ISR,-1.09,-1.45,-0.53,-0.31,0.09,0.34,0.45,0.7,0.68,0.21,0.7,1,0.22,0.52,-0.21,-0.66,-0.02,-0.1,0.46,-0.27,0.16,0.02,0.67,-0.56,-1.02
ITA,-0.01,0.1,0.04,-0.12,-0.2,0.2,0.12,0.2,0.37,0.4,0.54,0.54,0.56,0.8,0.85,0.8,0.7,0.55,0.23,-0.57,-0.53,-0.67,-1.16,-1.64,-2.1
JAM,-0.31,-0.25,-0.29,-0.2,-0.16,0.2,0.37,0.5,0.3,0.37,0.46,0.54,0.38,0.51,0.49,0.4,0.74,0.06,0.24,-0.66,-0.83,-0.64,-0.79,-0.58,-0.83
JOR,-0.18,-0.49,-0.01,-0.21,0,-0.14,-0.09,-0.12,-0.15,-0.2,-0.06,-0.02,0.09,0.14,0.37,0.58,0.46,0.46,0.19,0.11,-0.15,-0.24,-0.04,-0.2,-0.1
JPN,-0.53,-0.53,-0.36,-0.49,-0.02,0.03,0.17,0.12,-0.25,0.04,0.22,0.06,0.17,0.32,0.5,0.29,0.23,0.38,0.04,-0.78,-0.26,-0.09,0.23,0.38,0.13
KAZ,0,0,3.99,1.37,0.47,-1.26,-2.87,-3.51,-3.51,-4.15,-4.02,-3.08,-2.95,-2.42,-0.43,-0.25,0.63,2.41,2.9,1.3,3.27,3.69,2.52,3.48,2.41
KEN,-0.02,-0.07,-0.05,-0.03,-0.03,0,0.06,0.01,0.06,0.06,0.06,0.02,-0.03,-0.08,-0.06,-0.04,-0.01,-0.02,-0.01,0.03,0.02,0.04,0.01,0.02,0.04
KGZ,0,0,1.17,0.6,0.07,-0.32,-0.08,-0.12,-0.06,-0.35,-0.37,-0.53,-0.32,-0.23,-0.16,-0.23,-0.26,-0.05,0.13,-0.05,-0.14,0.08,0.49,0.41,0.33
KHM,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07,-0.09,-0.05,-0.06,-0.06,-0.04,-0.05,-0.04,-0.03,-0.01,0,0.03,0.06,0.11,0.13,0.14,0.15,0.15,0.22
KOR,-3.57,-3.29,-2.83,-2.04,-1.62,-1.02,-0.46,0.03,-1.45,-0.75,0.19,0.18,0.44,0.41,0.7,0.28,0.39,0.85,1.02,0.99,2.11,2.47,2.3,2.42,2.24
KWT,-3.65,-22.93,0,0,0,6.1,2.8,4.08,0.24,-0.34,-1.82,-0.61,-0.78,-0.31,0.84,3.49,3.09,2.11,3.25,3.03,1.95,0.59,2.2,-0.61,-2.72
LAO,-0.12,-0.11,-0.11,-0.11,-0.11,-0.1,-0.07,-0.05,-0.04,0.01,0.01,-0.01,0.04,0.03,0.08,0.08,0.1,-0.02,-0.01,0.04,0.09,0.09,0.1,0.07,0.13
LBN,-1.3,-1.25,-0.66,-0.31,-0.06,0.14,0.15,0.72,1.01,0.89,0.38,0.48,0.21,0.58,0.01,-0.27,-0.77,-1.04,-0.14,0.66,0.29,0.12,0.27,-0.05,-0.04
LBR,0.05,-0.04,-0.04,-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,-0.03,-0.03,-0.01,-0.02,-0.01,0.02,0.05,0.04,0.01,-0.02,-0.04,0.02,0.04,0.07,0.05,0.04
LBY,-0.48,0.66,-0.76,-0.58,0.32,0.53,0,0.02,-0.02,-0.31,0.02,0.07,-0.12,-0.02,0.05,0.22,0.28,-0.41,0.48,0.7,1.27,-2.36,-0.27,0.31,0.41
LKA,-0.3,-0.29,-0.23,-0.25,-0.22,-0.2,-0.14,-0.11,-0.11,-0.07,0.02,0.03,0.05,0.05,0.11,0.09,0.08,0.1,0.08,0.13,0.13,0.22,0.26,0.23,0.36
LSO,-0.11,-0.09,-0.07,-0.06,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.03,-0.03,-0.02,-0.02,0,0.01,0.01,0.02,0.04,0.07,0.09,0.1,0.13,0.12,0.13
LTU,0,0,1.65,0.41,0.41,0.13,0.03,-0.05,0.23,-0.45,-0.86,-0.63,-0.52,-0.58,-0.42,-0.15,-0.01,0.36,0.35,-0.38,0.01,0.22,0.29,-0.06,0.04
LUX,4.28,5.51,5.04,5.22,3.37,-1.57,-1.55,-2.99,-4.6,-4.07,-3.04,-1.99,-0.82,0.01,2.68,2.9,2.09,1.04,0.46,-1.04,-0.29,-0.82,-1.84,-3.42,-4.56
LVA,0,0,1.83,1.11,0.75,0.22,0.14,-0.11,-0.24,-0.75,-0.9,-0.59,-0.59,-0.36,-0.31,-0.23,0.03,0.2,0.05,-0.21,0.27,-0.04,-0.11,-0.06,-0.08
MAR,-0.42,-0.38,-0.35,-0.29,-0.25,-0.24,-0.23,-0.22,-0.23,-0.2,-0.19,-0.07,-0.07,-0.11,0.07,0.14,0.17,0.25,0.31,0.28,0.36,0.39,0.52,0.38,0.38
MDA,0,0,3.77,2.33,1.39,1.16,1.25,0.05,-0.17,-0.65,-0.92,-0.87,-0.79,-0.7,-0.62,-0.53,-0.5,-0.58,-0.55,-0.61,-0.5,-0.47,-0.5,-0.48,-0.5
MDG,-0.02,-0.01,-0.02,-0.02,0,-0.01,0,0.01,0.02,0.02,0.02,0.01,-0.03,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,0.02,0.03,0.03
MEX,-0.24,-0.16,-0.2,-0.22,-0.15,-0.43,-0.35,-0.17,-0.03,-0.07,-0.05,0.04,0,0.2,0.15,0.33,0.38,0.33,0.37,0.15,-0.01,0.1,0.14,0.03,-0.1
MKD,0,0,0.32,0.11,0.18,0.37,0.8,0.22,1.18,0.69,0.83,0.77,0.24,0.41,0.34,0.38,0.2,-0.5,-0.55,-0.9,-0.94,-0.56,-0.78,-1.32,-1.48
MLI,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.01,0,0,0,0,0.02
MMR,-0.1,-0.1,-0.09,-0.08,-0.06,-0.04,-0.04,-0.04,-0.03,-0.01,0.01,-0.02,-0.01,0,0.05,0.03,0.06,0.06,-0.01,0,0.04,0.08,0.01,0.05,0.21
MNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41,0.12,-0.1,0.7,-0.8,0.41,0.39,0.01,-0.14,-0.2
MNG,-0.22,0.69,0.12,-0.69,-1.3,-1.34,-1.32,-1.49,-1.52,-1.61,-1.66,-1.53,-1.4,-1.54,-1.36,-1.4,-1.12,-0.13,-0.21,0.12,0.31,3,4.53,8.72,2.34
MOZ,-0.02,-0.02,-0.03,-0.02,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.01,-0.02,0,0,-0.01,-0.01,0,0,0.01,0.01,0.03,0.02,0.05,0.21
MRT,-0.07,-0.08,-0.06,-0.07,-0.01,-0.06,-0.05,-0.06,-0.08,-0.08,-0.08,-0.06,-0.05,-0.05,-0.01,-0.01,-0.02,0.04,0.05,0.09,0.1,0.13,0.18,0.16,0.15
MWI,0,0,0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0,0,-0.01,0,0,-0.01,-0.01,-0.01,0,-0.01,0,0,-0.01,0,0
MYS,-2.91,-2.35,-2.09,-1.34,-1.35,-0.14,-0.09,-0.26,-0.89,-1.29,-0.63,-0.33,-0.52,0.36,0.46,0.75,0.37,0.89,1.48,1.15,1.72,1.65,1.45,1.91,1.98
NAM,-1.03,-0.34,-0.3,-0.17,-0.07,-0.07,-0.03,-0.04,0,-0.16,-0.19,-0.01,-0.16,-0.11,-0.08,0.08,0.08,0.08,0.52,0.38,0.37,0.22,0.44,0.08,0.53
NCL,-2.17,-1.36,-2.63,-1.48,-0.99,-0.73,-0.32,-2.35,-2.61,-1.6,-0.96,-2.75,-0.58,0.72,-0.38,0.72,0.1,0.87,0.38,0.65,2.75,2.91,2.58,4.65,4.57
